comp,H2_wtpercent,Enthalpy,Temp_C,P_atm,Phase
Th1.5Ce.5Al,0.4,133,650,0.0003,A2B
Th2Al,0.8,130,500,0.001,A2B
Ti2Cu,2.2,130,500,0.12,A2B
Ti2Pd,1.4,90,0,1000,A2B
Zr2Cu,1.3,144,600,0.003,A2B
Zr2Cu,1.3,142,700,0.02,A2B
Zr2Ni,1.3,183,604,0.003,A2B
Hf2Fe,1.1,70,277,0.38,A2B
Mg1.5Ni,2.6,29.1,300,3.7,A2B
Mg1.75Ni,2.8,26.6,300,4.5,A2B
Mg1.92Al.08Ni,3.5,70.5,295,4,A2B
Mg1.9Ti.1Ni,2.9,62.5,300,2.5,A2B
Mg2Co,4.5,76,450,16,A2B
Mg2Co,4.2,108,418,5.7,A2B
Mg2Cu,2.6,72.9,295,6,A2B
Mg2Fe,5.5,77.2,450,25,A2B
Mg2Ni,3.1,31.3,300,3.7,A2B
Mg2Ni,3.2,61,250,1.1,A2B
Mg2Ni,3.3,67,300,2.2,A2B
Mg2Ni,3.3,65.9,300,3.2,A2B
Mg2Ni,3.3,63.2,300,3.1,A2B
Mg2Ni,3.5,64.4,180,0.09,A2B
Mg2Ni,3.5,64.4,180,0.07,A2B
Mg2Ni,3.5,68.6,180,0.05,A2B
Mg2Ni,3.6,64.5,299,3.2,A2B
Mg2Ni,3.6,64.6,300,2.5,A2B
Mg2Ni,3.6,68.8,180,0.06,A2B
Mg2Ni,3.6,71.3,300,2.6,A2B
Mg2Ni,3.7,62.2,450,57,A2B
Mg2Ni.75Co.25,3.1,64.5,279,1,A2B
Mg2Ni.75Cr.25,3,59.9,248,1,A2B
Mg2Ni.75Cu.25,1000,53.2,227,1,A2B
Mg2Ni.75Fe.25,2.8,63.2,253,1,A2B
Mg2Ni.75Fe.25,3.3,65.2,300,1.9,A2B
Mg2Ni.75V.25,2.9,62.4,250,1,A2B
Mg2Ni.75Zn.25,3.3,61.5,246,1,A2B
Mg2Ni0.75Co0.25,3.2,61,250,0.5,A2B
Mg2Ni0.75Cr0.25,3.2,61,250,0.9,A2B
Mg2Ni0.75Cu0.25,3.2,59,250,1.2,A2B
Mg2Ni0.75Fe0.25,3.2,60,250,1,A2B
Mg2Ni0.75Mn0.25,3.2,58,250,1,A2B
Mg2Ni0.75Ti0.25,3.2,56,250,1.2,A2B
Mg2Ni0.75Ti0.25,3.2,59,250,1.3,A2B
Mg2Ni0.7Zr0.3,3.5,59.8,340,10,A2B
ThCo,1.4,46.8,40,0.05,AB
ThNi,1.2,45.3,40,0.01,AB
Ti.46Fe.45V.05Mn.05,1.7,28.6,22,2,AB
Ti.96Zr.04Fe.95Nb.04,1.7,31.8,30,1.4,AB
Ti.9Fe.9B.2,1.5,7.6,27,14,AB
Ti.9La.1Co,1.5,60,150,3.2,AB
Ti.9Zr.1Fe,1,28.9,30,3.3,AB
TiCo,1.1,61.1,150,2.2,AB
TiCo,1.3,57.8,150,2.2,AB
TiCo,1.4,57.4,155,4,AB
TiCo,1.45,54,152,2,AB
TiCo.5Fe.5,1.1,42.3,100,4,AB
TiCo.5Mn.5,1.6,46.9,120,3.2,AB
TiCu,1.7,75,200,0.004,AB
TiCu,1.6,126,500,0.15,AB
TiFe,1.7,26.7,51,11,AB
TiFe,1.9,28.1,30,5.2,AB
TiFe.5Co.5,1.1,41.4,150,12,AB
TiFe.6Ni.4,1.5,48.6,50,0.035,AB
TiFe.7Mn.2,2,34.7,40,1.4,AB
TiFe.8Be.2,1.4,30.5,21,0.7,AB
TiFe.8Ni.15V.05,1.3,41,150,7,AB
TiFe.8Ni.2,1,41.9,50,0.28,AB
TiFe.8Ni.2,1.3,41.2,50,0.33,AB
TiFe.95Mn.05,1.6,29.3,50,9,AB
TiFe.9Al.1,1.3,30,25,1.2,AB
TiFe.9Co.1,1.5,30.6,50,5,AB
TiFe.9Cr.1,1.1,30.5,150,20,AB
TiFe.9Mn.1,1.2,27.2,100,30,AB
TiFe.9Mn.1,1.9,29.5,25,2.6,AB
TiFe.9Ni.1,1.4,35.6,50,1.8,AB
HfCo,1.3,43,270,1,AB
HfCo,1.3,59,50,0.001,AB
HfNi,1.3,40,190,1,AB
HfNi,1.3,50,50,0.02,AB
LaNi,1.3,118,0,1000,AB
LaNi,1.9,100,0,1000,AB
LaNi,2,126,0,1000,AB
Li.94Pd,0.9,69.2,300,0.02,AB
LiPd,0.7,75.3,0,1000,AB
LiPt,0.6,134,0,1000,AB
LuNi,1.2,100,0,1000,AB
TiNi,1.4,58,0,1000,AB
UCo,0.6,55,150,0.08,AB
YbNi,1.2,147,0,1000,AB
YbPd,1,67,0,1000,AB
Zr.5Hf.5Co,1.1,76.2,200,0.2,AB
Zr.7Hf.3Co,1.4,80.3,200,0.03,AB
ZrCo,1.2,90,252,0.05,AB
ZrCo,1.7,76.3,200,0.005,AB
ZrCo,2,66,430,1,AB
ZrCo,1.6,67,200,0.013,AB
ZrCo.84Ni.16,1.6,83,250,0.01,AB
ZrNi,1.2,47.5,300,0.005,AB
ZrNi,1.7,40.1,250,0.2,AB
ZrNi,1.8,76.8,250,0.26,AB
ZrNi,2,64,300,1,AB
CaNi2,2.1,85,25,0.05,AB2
CeMg2,3.1,101,216,0.1,AB2
DyFe2,1.5,58,80,0.0001,AB2
ScMn2,2.3,63,0,1000,AB2
Th1.5Ce.5Al,0.4,133,650,0.0003,AB2
ThNi2,1.1,44.7,0,1000,AB2
ThZr2,0.5,413,910,0.08,AB2
Ti.5Zr.5Mn1.2Fe.3,1.9,39,120,1.5,AB2
Ti.5Zr.5Mn2,1.8,40,70,1.5,AB2
Ti.5Zr.5V.5Ni1.3Zr.2,1.6,38.8,0,1000,AB2
Ti.6Zr.4Mn1.4Cr.4Cu.2,1.8,48,20,0.3,AB2
Ti.6Zr.4Mn1.9Cu.1,1.7,40.6,20,0.5,AB2
Ti.7Zr.3Mn1.9Mo.1,1.7,41,17,0.9,AB2
Ti.8Zr.2Cr1.8,1000,23,0,3,AB2
Ti.8Zr.2CrMn,1000,30,0,2,AB2
Ti.8Zr.2Mn.8Cr1.0Fe.2,1.8,28,20,12,AB2
Ti.8Zr.2Mn1.2Cr.8,2,28.9,20,5,AB2
Ti.8Zr.2Mn1.2V.2Cr.6,1.9,30.5,20,2.2,AB2
Ti.8Zr.2Mn1.4V.2Cr.4,1.9,29,20,9,AB2
Ti.8Zr.2Mn1.5Cr.5,2,27.5,30,10,AB2
Ti.8Zr.2Mn1.5Cu.5,1.6,27,30,3,AB2
Ti.8Zr.2Mn1.5Fe.5,1.7,25.4,30,11,AB2
Ti.8Zr.2Mn1.5V.5,2,45.6,30,0.5,AB2
Ti.8Zr.2Mn1.6V.2Cr.2,1.9,30.5,20,2,AB2
Ti.8Zr.2Mn1.7V.2Mo.1,2,35,14,1,AB2
Ti.8Zr.2Mn1.8Mo.2,1.7,29,20,4,AB2
Ti.8Zr.2V.6Mn.2Pd.1Ni.8Fe.2,1.3,46.5,25,0.01,AB2
