comp,H2_wtpercent,Enthalpy,Temp_C,P_atm,Phase,composition,minimum Number,maximum Number,range Number,mean Number,avg_dev Number,mode Number,minimum MendeleevNumber,maximum MendeleevNumber,range MendeleevNumber,mean MendeleevNumber,avg_dev MendeleevNumber,mode MendeleevNumber,minimum AtomicWeight,maximum AtomicWeight,range AtomicWeight,mean AtomicWeight,avg_dev AtomicWeight,mode AtomicWeight,minimum MeltingT,maximum MeltingT,range MeltingT,mean MeltingT,avg_dev MeltingT,mode MeltingT,minimum Column,maximum Column,range Column,mean Column,avg_dev Column,mode Column,minimum Row,maximum Row,range Row,mean Row,avg_dev Row,mode Row,minimum CovalentRadius,maximum CovalentRadius,range CovalentRadius,mean CovalentRadius,avg_dev CovalentRadius,mode CovalentRadius,minimum Electronegativity,maximum Electronegativity,range Electronegativity,mean Electronegativity,avg_dev Electronegativity,mode Electronegativity,minimum NsValence,maximum NsValence,range NsValence,mean NsValence,avg_dev NsValence,mode NsValence,minimum NpValence,maximum NpValence,range NpValence,mean NpValence,avg_dev NpValence,mode NpValence,minimum NdValence,maximum NdValence,range NdValence,mean NdValence,avg_dev NdValence,mode NdValence,minimum NfValence,maximum NfValence,range NfValence,mean NfValence,avg_dev NfValence,mode NfValence,minimum NValence,maximum NValence,range NValence,mean NValence,avg_dev NValence,mode NValence,minimum NsUnfilled,maximum NsUnfilled,range NsUnfilled,mean NsUnfilled,avg_dev NsUnfilled,mode NsUnfilled,minimum NpUnfilled,maximum NpUnfilled,range NpUnfilled,mean NpUnfilled,avg_dev NpUnfilled,mode NpUnfilled,minimum NdUnfilled,maximum NdUnfilled,range NdUnfilled,mean NdUnfilled,avg_dev NdUnfilled,mode NdUnfilled,minimum NfUnfilled,maximum NfUnfilled,range NfUnfilled,mean NfUnfilled,avg_dev NfUnfilled,mode NfUnfilled,minimum NUnfilled,maximum NUnfilled,range NUnfilled,mean NUnfilled,avg_dev NUnfilled,mode NUnfilled,minimum GSvolume_pa,maximum GSvolume_pa,range GSvolume_pa,mean GSvolume_pa,avg_dev GSvolume_pa,mode GSvolume_pa,minimum GSbandgap,maximum GSbandgap,range GSbandgap,mean GSbandgap,avg_dev GSbandgap,mode GSbandgap,minimum GSmagmom,maximum GSmagmom,range GSmagmom,mean GSmagmom,avg_dev GSmagmom,mode GSmagmom,minimum SpaceGroupNumber,maximum SpaceGroupNumber,range SpaceGroupNumber,mean SpaceGroupNumber,avg_dev SpaceGroupNumber,mode SpaceGroupNumber
Th1.5Ce.5Al,0.4,133,650,0.0003,A2B,Th1.5 Ce0.5 Al1,13,90,77,59,31,90,15,73,58,34.83333333,25.44444444,16,26.9815386,232.03806,205.0565214,148.3655429,83.67251713,232.03806,933.47,2023,1089.53,1501.156667,521.8433333,2023,3,13,10,6.333333333,4.444444444,3,3,7,4,5.5,1.666666667,7,121,206,85,177.3333333,37.55555556,206,1.12,1.61,0.49,1.373333333,0.157777778,1.3,2,2,0,2,0,2,0,1,1,0.333333333,0.444444444,0,0,2,2,1.166666667,0.833333333,2,0,1,1,0.166666667,0.277777778,0,3,4,1,3.666666667,0.444444444,4,0,0,0,0,0,0,0,5,5,1.666666667,2.222222222,0,0,9,9,5.5,3.666666667,8,0,13,13,2.166666667,3.611111111,0,5,22,17,9.333333333,4.222222222,8,16.48,37.24,20.76,27.885,7.603333333,32.37,0,0,0,0,0,0,0,0,0,0,0,0,194,225,31,219.8333333,8.611111111,225
Th2Al,0.8,130,500,0.001,A2B,Th2 Al1,13,90,77,64.33333333,34.22222222,90,16,73,57,35,25.33333333,16,26.9815386,232.03806,205.0565214,163.6858862,91.13623173,232.03806,933.47,2023,1089.53,1659.823333,484.2355556,2023,3,13,10,6.333333333,4.444444444,3,3,7,4,5.666666667,1.777777778,7,121,206,85,177.6666667,37.77777778,206,1.3,1.61,0.31,1.403333333,0.137777778,1.3,2,2,0,2,0,2,0,1,1,0.333333333,0.444444444,0,0,2,2,1.333333333,0.888888889,2,0,0,0,0,0,0,3,4,1,3.666666667,0.444444444,4,0,0,0,0,0,0,0,5,5,1.666666667,2.222222222,0,0,8,8,5.333333333,3.555555556,8,0,0,0,0,0,0,5,8,3,7,1.333333333,8,16.48,32.37,15.89,27.07333333,7.062222222,32.37,0,0,0,0,0,0,0,0,0,0,0,0,225,225,0,225,0,225
Ti2Cu,2.2,130,500,0.12,A2B,Ti2 Cu1,22,29,7,24.33333333,3.111111111,22,43,64,21,50,9.333333333,43,47.867,63.546,15.679,53.09333333,6.968444444,47.867,1357.77,1941,583.23,1746.59,259.2133333,1941,4,11,7,6.333333333,3.111111111,4,4,4,0,4,0,4,132,160,28,150.6666667,12.44444444,160,1.54,1.9,0.36,1.66,0.16,1.54,1,2,1,1.666666667,0.444444444,2,0,0,0,0,0,0,2,10,8,4.666666667,3.555555556,2,0,0,0,0,0,0,4,11,7,6.333333333,3.111111111,4,0,1,1,0.333333333,0.444444444,0,0,0,0,0,0,0,0,8,8,5.333333333,3.555555556,8,0,0,0,0,0,0,1,8,7,5.666666667,3.111111111,8,11.07,16.69,5.62,14.81666667,2.497777778,16.69,0,0,0,0,0,0,0,2.25E-05,2.25E-05,1.50E-05,1.00E-05,2.25E-05,194,225,31,204.3333333,13.77777778,194
Ti2Pd,1.4,90,0,1000,A2B,Ti2 Pd1,22,46,24,30,10.66666667,22,43,62,19,49.33333333,8.444444444,43,47.867,106.42,58.553,67.38466667,26.02355556,47.867,1828.05,1941,112.95,1903.35,50.2,1941,4,10,6,6,2.666666667,4,4,5,1,4.333333333,0.444444444,4,139,160,21,153,9.333333333,160,1.54,2.2,0.66,1.76,0.293333333,1.54,0,2,2,1.333333333,0.888888889,2,0,0,0,0,0,0,2,10,8,4.666666667,3.555555556,2,0,0,0,0,0,0,4,10,6,6,2.666666667,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,5.333333333,3.555555556,8,0,0,0,0,0,0,0,8,8,5.333333333,3.555555556,8,14.41,16.69,2.28,15.93,1.013333333,16.69,0,0,0,0,0,0,0,2.25E-05,2.25E-05,1.50E-05,1.00E-05,2.25E-05,194,225,31,204.3333333,13.77777778,194
Zr2Cu,1.3,144,600,0.003,A2B,Zr2 Cu1,29,40,11,36.33333333,4.888888889,40,44,64,20,50.66666667,8.888888889,44,63.546,91.224,27.678,81.998,12.30133333,91.224,1357.77,2128,770.23,1871.256667,342.3244444,2128,4,11,7,6.333333333,3.111111111,4,4,5,1,4.666666667,0.444444444,5,132,175,43,160.6666667,19.11111111,175,1.33,1.9,0.57,1.52,0.253333333,1.33,1,2,1,1.666666667,0.444444444,2,0,0,0,0,0,0,2,10,8,4.666666667,3.555555556,2,0,0,0,0,0,0,4,11,7,6.333333333,3.111111111,4,0,1,1,0.333333333,0.444444444,0,0,0,0,0,0,0,0,8,8,5.333333333,3.555555556,8,0,0,0,0,0,0,1,8,7,5.666666667,3.111111111,8,11.07,23.195,12.125,19.15333333,5.388888889,23.195,0,0,0,0,0,0,0,0,0,0,0,0,194,225,31,204.3333333,13.77777778,194
Zr2Cu,1.3,142,700,0.02,A2B,Zr2 Cu1,29,40,11,36.33333333,4.888888889,40,44,64,20,50.66666667,8.888888889,44,63.546,91.224,27.678,81.998,12.30133333,91.224,1357.77,2128,770.23,1871.256667,342.3244444,2128,4,11,7,6.333333333,3.111111111,4,4,5,1,4.666666667,0.444444444,5,132,175,43,160.6666667,19.11111111,175,1.33,1.9,0.57,1.52,0.253333333,1.33,1,2,1,1.666666667,0.444444444,2,0,0,0,0,0,0,2,10,8,4.666666667,3.555555556,2,0,0,0,0,0,0,4,11,7,6.333333333,3.111111111,4,0,1,1,0.333333333,0.444444444,0,0,0,0,0,0,0,0,8,8,5.333333333,3.555555556,8,0,0,0,0,0,0,1,8,7,5.666666667,3.111111111,8,11.07,23.195,12.125,19.15333333,5.388888889,23.195,0,0,0,0,0,0,0,0,0,0,0,0,194,225,31,204.3333333,13.77777778,194
Zr2Ni,1.3,183,604,0.003,A2B,Zr2 Ni1,28,40,12,36,5.333333333,40,44,61,17,49.66666667,7.555555556,44,58.6934,91.224,32.5306,80.38046667,14.45804444,91.224,1728,2128,400,1994.666667,177.7777778,2128,4,10,6,6,2.666666667,4,4,5,1,4.666666667,0.444444444,5,124,175,51,158,22.66666667,175,1.33,1.91,0.58,1.523333333,0.257777778,1.33,2,2,0,2,0,2,0,0,0,0,0,0,2,8,6,4,2.666666667,2,0,0,0,0,0,0,4,10,6,6,2.666666667,4,0,0,0,0,0,0,0,0,0,0,0,0,2,8,6,6,2.666666667,8,0,0,0,0,0,0,2,8,6,6,2.666666667,8,10.32,23.195,12.875,18.90333333,5.722222222,23.195,0,0,0,0,0,0,0,0.5953947,0.5953947,0.1984649,0.264619867,0,194,225,31,204.3333333,13.77777778,194
Hf2Fe,1.1,70,277,0.38,A2B,Hf2 Fe1,26,72,46,56.66666667,20.44444444,72,45,55,10,48.33333333,4.444444444,45,55.845,178.49,122.645,137.6083333,54.50888889,178.49,1811,2506,695,2274.333333,308.8888889,2506,4,8,4,5.333333333,1.777777778,4,4,6,2,5.333333333,0.888888889,6,132,175,43,160.6666667,19.11111111,175,1.3,1.83,0.53,1.476666667,0.235555556,1.3,2,2,0,2,0,2,0,0,0,0,0,0,2,6,4,3.333333333,1.777777778,2,0,14,14,9.333333333,6.222222222,14,8,18,10,14.66666667,4.444444444,18,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,6.666666667,1.777777778,8,0,0,0,0,0,0,4,8,4,6.666666667,1.777777778,8,10.73,22.2,11.47,18.37666667,5.097777778,22.2,0,0,0,0,0,0,0,2.1106628,2.1106628,0.703554267,0.938072356,0,194,229,35,205.6666667,15.55555556,194
Mg1.5Ni,2.6,29.1,300,3.7,A2B,Mg1.5 Ni1,12,28,16,18.4,7.68,12,61,68,7,65.2,3.36,68,24.305,58.6934,34.3884,38.06036,16.506432,24.305,923,1728,805,1245,386.4,923,2,10,8,5.2,3.84,2,3,4,1,3.4,0.48,3,124,141,17,134.2,8.16,141,1.31,1.91,0.6,1.55,0.288,1.31,2,2,0,2,0,2,0,0,0,0,0,0,0,8,8,3.2,3.84,0,0,0,0,0,0,0,2,10,8,5.2,3.84,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.8,0.96,0,0,0,0,0,0,0,0,2,2,0.8,0.96,0,10.32,22.89,12.57,17.862,6.0336,22.89,0,0,0,0,0,0,0,0.5953947,0.5953947,0.23815788,0.285789456,0,194,225,31,206.4,14.88,194
Mg1.75Ni,2.8,26.6,300,4.5,A2B,Mg1.75 Ni1,12,28,16,17.81818182,7.404958678,12,61,68,7,65.45454545,3.239669421,68,24.305,58.6934,34.3884,36.80987273,15.91529256,24.305,923,1728,805,1215.727273,372.5619835,923,2,10,8,4.909090909,3.702479339,2,3,4,1,3.363636364,0.462809917,3,124,141,17,134.8181818,7.867768595,141,1.31,1.91,0.6,1.528181818,0.27768595,1.31,2,2,0,2,0,2,0,0,0,0,0,0,0,8,8,2.909090909,3.702479339,0,0,0,0,0,0,0,2,10,8,4.909090909,3.702479339,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.727272727,0.925619835,0,0,0,0,0,0,0,0,2,2,0.727272727,0.925619835,0,10.32,22.89,12.57,18.31909091,5.817520661,22.89,0,0,0,0,0,0,0,0.5953947,0.5953947,0.216507164,0.275554572,0,194,225,31,205.2727273,14.34710744,194
